Name_commo,Easting_2019,Northing_2019,Elevation_2019,dElev_1719 ,dDist_1719,Vec_1719,dElev_1817,dDist_1817,Vec_1718,dElev_1819 ,dDist_1819,slope,radiation,flowacc
Target 1B,443052.3,7206594.1,99.8,0.19648425,0.131124262,-85.66979619,0.0582515,0.066853738,-80.83336968,0.13823275,0.064270524,11.2,4969.51,319
Target 1F,443061,7206546.9,91.4,0.34217475,0.277998568,-81.23210215,0.109044,0.125788078,-74.1404604,0.23313075,0.152210489,10.58,4933.26,91
Target 1M,443057.3,7206555.2,93,0.243161,0.282657991,-67.69027065,0.02294975,0.12379485,-67.96208192,0.22021125,0.158863141,10.58,4915.69,132
Target 1S,443057.7,7206574.5,96.6,0.16867375,0.129210122,-78.24418968,0.053175,0.077525947,-59.06779191,0.11549875,0.051684175,10.57,4853.6,682
Target 2B,443003.8,7206679.4,121.6,0.04488825,0.080120862,84.48489087,0.05951925,0.056634662,67.30604759,-0.014631,0.0234862,14.91,5025.04,731
Target 2F,443004.2,7206655.3,115.9,0.053153333,0.04744734,-82.12586993,0.055831333,0.065342041,89.06443358,-0.002678,-0.0178947,14.27,5081.13,320
Target 3L,442854.8,7206981.9,211.8,-0.02817325,0.061659726,-46.54055548,0.0321075,0.033450598,-70.98977841,-0.06028075,0.028209129,-9999,-9999,-9999
Target 3M,442845.5,7206979.6,211,0.094218,0.084480907,78.90425954,0.06677975,0.040284148,61.04886256,0.02743825,0.044196759,16.33,5085.85,140
Target 3U,442837.5,7206986.4,213,0.05254075,0.108740782,-86.22206967,0.0290435,0.066399741,-83.70963997,0.02349725,0.042341041,14.92,5098.4,139
Target 4L,442845.1,7207013.5,219.9,0.05016375,0.115072362,81.21766606,0.0288065,0.098776338,-84.65889331,0.02135725,0.016296024,-9999,-9999,-9999
Target 4U,442844.9,7207015.6,220.9,0.069492333,0.129041753,89.06747793,0.049185333,0.095673379,-89.3210576,0.020307,0.033368373,15.09,5124.62,352
Target 5B,442723.6,7206655.1,130.5,0.3038125,0.145037397,-13.86241142,0.09058075,0.069307719,-23.82813263,0.21323175,0.075729678,14.91,4755.59,414
Target 5BK,442692.5,7206665.2,139.1,0.28806825,0.196575084,-16.26987699,0.11307625,0.093407709,-21.34573671,0.174992,0.103167376,15,4764.1,698
Target 5L,442702.6,7206670.9,137.8,0.2430295,0.234238794,-27.11194784,0.089967,0.109359316,-33.58827226,0.1530625,0.124879478,15,4695.66,308
Target 5R,442696.8,7206650.2,137.1,0.19759725,0.178918005,-41.47653719,0.134618,0.123966036,-50.93404647,0.06297925,0.054951968,15.47,4747.76,459
Target 5T,442711.5,7206660.9,134.9,0.26519525,0.386956781,-23.53245778,0.117649,0.162444469,-36.44479303,0.14754625,0.224512312,14.43,4627.85,466
Target 6F,442689.4,7206644.7,138.7,0.19790875,0.229213532,-32.37957226,0.093633,0.096399222,-48.32192493,0.10427575,0.132814309,15.47,4719.32,187
Target 6L,442682.2,7206653.3,141.4,0.11731225,0.075180384,-52.94707185,0.065588,0.057462384,-62.56523109,0.05172425,0.017717999,15.79,4668.07,380
Target 6R,442681.3,7206641.7,140.9,0.124406,0.111048888,-36.14488214,0.04885825,0.074831097,-45.36534696,0.07554775,0.036217791,15.79,4731.9,237
Target BM1,443096.7,7206476.6,81.6,0.130587167,0.058903406,-53.74603731,0.011343667,0.03697911,-80.76673921,0.1192435,0.021924296,5.8,4790.05,111
Target BM2,443032.7,7206635.6,108.6,0.436917,0.147585113,-64.91650346,0.291982833,0.086434754,79.54575487,0.144934167,0.061150358,11.88,4918.44,371
Target BM3,442839.4,7206972.2,208,0.0800025,0.109355606,78.96389204,0.0126225,0.067357975,80.84513906,0.06738,0.041997632,16.33,5153.12,141
Target BM4,442742,7206643.8,125.7,0.19852075,0.052169819,-56.4925617,0.098652,0.053889825,-78.19466477,0.09986875,-0.001720005,13.7,4661.05,330
Target BM5,442647.1,7206678.3,154.2,0.307283,0.039343999,-49.31171381,0.1928195,0.029339697,-59.70593866,0.1144635,0.010004302,18.07,4617.28,551
